Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signin,496,1194,247,2534,230.40,0.000%,1.65230,24.56,6.33,15221.4
Click FISH-46,495,192,152,894,62.55,0.000%,1.66085,2.83,1.05,1746.9
Click FISH,495,192,152,894,62.55,0.000%,1.66085,2.83,1.05,1746.9
Click AngelFish,495,191,155,952,68.97,0.000%,1.66079,2.98,1.10,1837.2
Click EST-1,494,189,152,1082,68.05,0.000%,1.66048,2.92,1.09,1799.3
Add To Cart,494,193,153,906,70.87,0.000%,1.66034,3.56,1.09,2194.3
Checkout,494,191,152,1139,75.57,0.000%,1.65985,3.89,1.07,2400.7
Click continue,492,193,152,913,70.91,0.000%,1.65851,3.23,1.75,1994.4
Signout,492,569,480,2208,122.88,0.000%,1.65547,6.81,3.01,4211.3
Debug Sampler,491,0,0,21,1.08,0.000%,1.65643,0.92,0.00,566.3
TOTAL,4938,311,0,2534,338.75,0.000%,16.44969,54.26,17.45,3377.6
