Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Signin-29,3,526,498,569,30.87,0.000%,1.20627,2.44,0.58,2072.0
Signin-31,3,163,159,172,5.91,0.000%,1.44300,2.74,0.89,1946.0
Signin-32,3,331,324,345,9.46,0.000%,1.34469,2.97,2.22,2261.3
Signin-33,3,163,157,175,8.49,0.000%,1.46987,2.91,0.91,2030.7
Signin,3,1184,1139,1261,54.51,0.000%,.95572,7.76,3.22,8310.0
Click Fish-34,3,172,159,184,10.27,0.000%,1.46556,2.50,0.93,1746.7
Click Fish,3,172,159,184,10.27,0.000%,1.46341,2.50,0.93,1746.7
Click AngelFish-35,3,165,159,174,6.48,0.000%,1.47275,2.64,0.98,1837.7
Click AngelFish,3,165,159,174,6.48,0.000%,1.47131,2.64,0.98,1837.7
Click EST-1-36,3,179,161,198,15.11,0.000%,1.47420,2.59,0.97,1800.0
Click EST-1,3,179,161,198,15.11,0.000%,1.47203,2.59,0.97,1800.0
Add To Cart-37,3,166,158,180,9.57,0.000%,1.50000,3.21,0.99,2192.7
Add To Cart,3,166,158,180,9.57,0.000%,1.49925,3.21,0.99,2192.7
Check out-41,3,164,157,174,7.26,0.000%,1.51592,3.56,0.98,2402.7
Check out,3,164,157,174,7.26,0.000%,1.51439,3.55,0.98,2402.7
Continue-42,3,168,158,187,13.02,0.000%,1.52594,2.97,1.94,1996.0
Continue,3,168,158,187,13.02,0.000%,1.52439,2.97,1.94,1996.0
Confirm-44,3,171,164,177,5.44,0.000%,1.54242,3.32,0.96,2202.0
Confirm,3,171,164,177,5.44,0.000%,1.53767,3.31,0.96,2202.0
Signout-45,3,328,315,350,15.46,0.000%,1.43472,3.16,1.81,2257.3
Signout-46,3,183,166,211,19.95,0.000%,1.53689,2.93,0.96,1953.3
Signout,3,511,481,531,21.76,0.000%,1.29983,5.34,2.46,4210.7
TOTAL,66,262,157,1261,228.03,0.000%,13.54402,32.10,12.83,2427.1
